amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,scheme_name,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank_inverse,drawdown_rank_inverse,fund_score,rank
125497,0.18429918008610047,0.7757902498211205,0.17729754927531766,-15.200013055606398,HDFC Top 100 Fund - Direct Plan - Growth,0.92,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,15
118635,0.2000321571698329,0.664856998549062,0.1513635464823924,-11.650624505409091,Nippon India ETF Nifty 50 BeES,0.89,60.0,55.00000000000001,45.0,70.0,77.5,59.0,16
118633,0.21084691029380598,0.6452074382933215,0.15643835948169668,-18.62974313859551,Nippon India Large Cap Fund - Direct - Growth,0.72,65.0,50.0,47.5,88.75,37.5,58.5625,17
102885,0.19662361245910964,0.8170993373494367,0.17048756803412696,-10.85986215250232,UTI Nifty 50 Index Fund - Regular - Growth,1.57,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0,18
120503,0.13974980348212673,0.7979728586052847,0.17703302365844073,-13.897862823061635,ICICI Pru Bluechip Fund - Regular - Growth,1.42,40.0,60.0,60.0,52.5,67.5,53.625,19
148568,0.14744434832760533,0.9262873467360144,0.20873010086942337,-15.27259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.52,42.5,65.0,67.5,36.25,55.00000000000001,53.4375,20
120506,0.18417429266835228,0.6488787755249532,0.1625385327998104,-19.82565826298267,ICICI Pru Value Discovery Fund - Regular - Growth,1.41,52.5,52.5,52.5,55.00000000000001,35.0,51.125,21
120507,0.07392538786263403,0.4957233929533123,0.06746210411099539,-0.09773140045925555,ICICI Pru Liquid Fund - Regular - Growth,0.74,30.0,45.0,25.0,85.0,100.0,48.0,22
119093,0.20811559826631898,0.12961449795669328,0.08232801295222093,-21.751396370148225,Axis Bluechip Fund - Direct - Growth,0.75,62.5,30.0,32.5,82.5,25.0,47.625,23
102887,0.25549670172502026,0.6195175900829828,0.16211256794033255,-21.539827112383225,UTI Flexi Cap Fund - Regular - Growth,1.64,70.0,47.5,50.0,3.75,27.500000000000004,46.1875,24
149322,0.1803973982038829,0.46403744922047774,0.13173190226099432,-14.844576917771747,DSP Top 100 Equity Fund - Regular - Growth,1.54,50.0,40.0,42.5,26.25,62.5,43.6875,25
125498,0.11242518737374207,0.30061192104254786,0.11989100971217971,-21.11727956013212,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.78,37.5,35.0,37.5,77.5,30.0,42.125,26
120844,0.06694394239074852,-0.08874729621557288,0.06455677495375998,-0.11629327956168556,Kotak Liquid Fund - Regular - Growth,0.6,27.500000000000004,17.5,22.5,95.0,97.5,41.125,27
120841,0.1726301444443794,0.4942725378672349,0.13042924450705445,-17.57361416468729,Kotak Bluechip Fund - Regular - Growth,1.59,47.5,42.5,40.0,15.0,42.5,39.375,28
118634,0.080060298597036,0.44843400890899127,0.1750072167561127,-23.34488614483311,Nippon India Small Cap Fund - Regular - Growth,1.53,35.0,37.5,57.49999999999999,31.25,22.5,38.3125,29
118636,0.04061259859840338,-0.35662950751436784,0.05074772999976104,-8.316361763638703,Nippon India Gilt Securities Fund - Regular - Growth,0.55,20.0,7.5,15.0,100.0,87.5,34.625,30
119120,0.05838988442093762,-0.22657538662791576,0.05620895216638369,-4.328728923970093,SBI Magnum Gilt Fund - Regular Plan - Growth,0.77,22.5,10.0,17.5,80.0,90.0,33.75,31
101208,0.06314299292105274,-0.8155673679088263,0.060861457957871144,-0.16224980244717857,ABSL Liquid Fund - Regular - Growth,0.79,25.0,2.5,20.0,75.0,95.0,32.875,32
100025,0.03915479354684703,-0.5670947928476846,0.042817920315060876,-4.308263824636349,HDFC Short Term Debt Fund - Regular - Growth,0.56,17.5,5.0,7.5,97.5,92.5,31.875,33
120842,0.0775416750547262,0.07599984804658923,0.0780443887615508,-24.003511326274886,Kotak Emerging Equity Fund - Regular - Growth,1.56,32.5,27.500000000000004,30.0,20.0,20.0,27.625,34
119599,-0.01337083602283895,-0.05718662582817995,0.048824215945539845,-52.57422117012851,SBI Small Cap Fund - Direct Plan - Growth,0.72,7.5,22.5,12.5,88.75,2.5,23.9375,35
119092,0.005257668501786883,0.03078485095458594,0.0689952982167755,-14.401617909337261,Axis Bluechip Fund - Regular - Growth,1.64,12.5,25.0,27.500000000000004,3.75,65.0,22.5625,36
101207,-0.04151453816140693,0.16266076928646772,0.10897091901704538,-35.44691649336603,ABSL Small Cap Fund - Regular - Growth,1.53,5.0,32.5,35.0,31.25,7.5,22.0625,37
119095,-0.11703299329834216,-0.0759735711747892,0.04801595363775955,-51.677753708526566,Axis Small Cap Fund - Regular - Growth,1.38,2.5,20.0,10.0,60.0,5.0,17.25,38
100016,0.012923525892154508,-0.20151706755966936,0.03747580763443281,-24.734440880673304,HDFC Top 100 Fund - Regular Plan - Growth,1.55,15.0,15.0,5.0,22.5,17.5,14.375,39
102886,-0.007672319440258146,-0.20583160785470309,0.02896939786637944,-28.00112356639287,UTI Mid Cap Fund - Regular - Growth,1.51,10.0,12.5,2.5,41.25,15.0,14.3125,40
